STORE_NAME,STORE_DESCRIPTION,ADDRESS,CONTACT_NAME,CONTACT_EMAIL,CONTACT_PHONE,REGION_ID
Mercado de la Fe Santa Clara Del Pueblo,"Tienda de tamaño pequeña, acceso complicado, ubicada en zona comercial, cerca de otras tiendas.",Residencial Turín,John Doe,email@example.com,+503 7000 0000,401
Punto de Venta San Jose Express,"Tienda de tamaño mediana, fácil acceso, ubicada en zona residencial, sin estacionamiento.",Residencial Turín,John Doe,email@example.com,+503 7000 0000,401
El Buen Precio El Rosario Este,"Tienda de tamaño pequeña, acceso complicado, ubicada en el centro, con áreas verdes cercanas.",Residencial Candelaria de la Frontera,John Doe,email@example.com,+503 7000 0000,105
Maxi Ahorro El Sol Sur,"Tienda de tamaño pequeña, acceso complicado, ubicada en la periferia, aislada de otros comercios.",Residencial Candelaria de la Frontera,John Doe,email@example.com,+503 7000 0000,105
El Mercadillo San Carlos Express,"Tienda de tamaño grande, acceso restringido, ubicada en zona residencial, sin estacionamiento.",Residencial Chalchuapa,John Doe,email@example.com,+503 7000 0000,106
Supermercado Nuevo Mundo Oeste,"Tienda de tamaño pequeña, fácil acceso, ubicada en zona residencial, aislada de otros comercios.",Residencial Chalchuapa,John Doe,email@example.com,+503 7000 0000,106
Maxi Despensa,"Tienda de tamaño mediana, acceso complicado, ubicada en la periferia, cerca de otras tiendas.",Residencial Coatepeque,John Doe,email@example.com,+503 7000 0000,302
Super Selectos,"Tienda de tamaño grande, fácil acceso, ubicada en la periferia, con áreas verdes cercanas.",Residencial Coatepeque,John Doe,email@example.com,+503 7000 0000,302
Distribuidora San Francisco Este,"Tienda de tamaño mediana, fácil acceso, ubicada en el centro, aislada de otros comercios.",Residencial El Congo,John Doe,email@example.com,+503 7000 0000,402
Maxi Ahorro San Carlos Del Pueblo,"Tienda de tamaño grande, fácil acceso, ubicada en el centro, con áreas verdes cercanas.",Residencial El Congo,John Doe,email@example.com,+503 7000 0000,402
Mercado Popular Santa Maria Central,"Tienda de tamaño mediana, acceso restringido, ubicada en zona residencial, sin estacionamiento.",Residencial El Porvenir,John Doe,email@example.com,+503 7000 0000,403
Plaza Market La Fortuna Central,"Tienda de tamaño grande, fácil acceso, ubicada en la periferia, con mucha afluencia de gente.",Residencial El Porvenir,John Doe,email@example.com,+503 7000 0000,403
Super Precio Los Ángeles Sur,"Tienda de tamaño grande, acceso complicado, ubicada en el centro, cerca de otras tiendas.",Residencial Masahuat,John Doe,email@example.com,+503 7000 0000,404
Mercadito La Esperanza Del Pueblo,"Tienda de tamaño pequeña, fácil acceso, ubicada en la periferia, sin estacionamiento.",Residencial Masahuat,John Doe,email@example.com,+503 7000 0000,404
Tienda Santa Maria Del Pueblo,"Tienda de tamaño pequeña, acceso complicado, ubicada en el centro, con poca afluencia de gente.",Residencial Metapán,John Doe,email@example.com,+503 7000 0000,203
Abarrotes Los Ángeles Oeste,"Tienda de tamaño grande, acceso complicado, ubicada en zona comercial, con poca afluencia de gente.",Residencial Metapán,John Doe,email@example.com,+503 7000 0000,203
Mercado Local La Unión Norte,"Tienda de tamaño mediana, acceso complicado, ubicada en zona residencial, aislada de otros comercios.",Residencial San Antonio Pajonal,John Doe,email@example.com,+503 7000 0000,5
Tiendita El Progreso Central,"Tienda de tamaño mediana, acceso complicado, ubicada en el centro, con áreas verdes cercanas.",Residencial San Antonio Pajonal,John Doe,email@example.com,+503 7000 0000,5
Abarrotes La Fortuna Central,"Tienda de tamaño mediana, acceso restringido, ubicada en la periferia, con amplio estacionamiento.",Residencial San Sebastián Salitrillo,John Doe,email@example.com,+503 7000 0000,405
Mercado de la Fe Los Ángeles Central,"Tienda de tamaño grande, acceso complicado, ubicada en zona residencial, sin estacionamiento.",Residencial San Sebastián Salitrillo,John Doe,email@example.com,+503 7000 0000,405
Bodega de Descuentos El Buen Gusto Express,"Tienda de tamaño pequeña, acceso restringido, ubicada en el centro, aislada de otros comercios.",Residencial Santa Ana,John Doe,email@example.com,+503 7000 0000,107
Maxi Ahorro Los Primos Sur,"Tienda de tamaño grande, acceso restringido, ubicada en el centro, con amplio estacionamiento.",Residencial Santa Ana,John Doe,email@example.com,+503 7000 0000,107
Mercado Popular La Esperanza Oeste,"Tienda de tamaño grande, acceso complicado, ubicada en la periferia, aislada de otros comercios.",Residencial Santa Rosa Guachipilín,John Doe,email@example.com,+503 7000 0000,108
Super Oferta San Francisco Central,"Tienda de tamaño grande, fácil acceso, ubicada en la periferia, con áreas verdes cercanas.",Residencial Santa Rosa Guachipilín,John Doe,email@example.com,+503 7000 0000,108
Wal-Mart,"Tienda de tamaño pequeña, acceso complicado, ubicada en el centro, con áreas verdes cercanas.",Residencial Santiago de la Frontera,John Doe,email@example.com,+503 7000 0000,109
Maxi Ahorro Buen Precio Central,"Tienda de tamaño pequeña, fácil acceso, ubicada en zona residencial, sin estacionamiento.",Residencial Santiago de la Frontera,John Doe,email@example.com,+503 7000 0000,109
Mercadito La Fe Express,"Tienda de tamaño mediana, acceso restringido, ubicada en zona comercial, con amplio estacionamiento.",Residencial Texistepeque,John Doe,email@example.com,+503 7000 0000,303
Punto de Venta El Rosario Este,"Tienda de tamaño mediana, acceso complicado, ubicada en el centro, con mucha afluencia de gente.",Residencial Texistepeque,John Doe,email@example.com,+503 7000 0000,303
Dollar City,"Tienda de tamaño grande, acceso complicado, ubicada en la periferia, con mucha afluencia de gente.",Residencial Acajutla,John Doe,email@example.com,+503 7000 0000,406
La Bodega La Fe Central,"Tienda de tamaño mediana, acceso complicado, ubicada en el centro, sin estacionamiento.",Residencial Acajutla,John Doe,email@example.com,+503 7000 0000,406
Supermercado Europa,"Tienda de tamaño grande, fácil acceso, ubicada en la periferia, con mucha afluencia de gente.",Residencial Armenia,John Doe,email@example.com,+503 7000 0000,6
Mercadito La Esperanza Central,"Tienda de tamaño grande, fácil acceso, ubicada en zona comercial, cerca de otras tiendas.",Residencial Armenia,John Doe,email@example.com,+503 7000 0000,6
Punto de Venta Santa Maria Del Pueblo,"Tienda de tamaño mediana, fácil acceso, ubicada en zona residencial, con amplio estacionamiento.",Residencial Caluco,John Doe,email@example.com,+503 7000 0000,204
Mercado Popular El Centro Sur,"Tienda de tamaño mediana, acceso restringido, ubicada en zona comercial, con mucha afluencia de gente.",Residencial Caluco,John Doe,email@example.com,+503 7000 0000,204
Abarrotes Nuevo Mundo Express,"Tienda de tamaño grande, acceso restringido, ubicada en zona residencial, aislada de otros comercios.",Residencial Cuisnahuat,John Doe,email@example.com,+503 7000 0000,7
Tienda El Centro Sur,"Tienda de tamaño pequeña, acceso restringido, ubicada en zona comercial, con poca afluencia de gente.",Residencial Cuisnahuat,John Doe,email@example.com,+503 7000 0000,7
Maxi Despensa,"Tienda de tamaño mediana, fácil acceso, ubicada en el centro, con poca afluencia de gente.",Residencial Izalco,John Doe,email@example.com,+503 7000 0000,110
Mercado Local Los Ángeles Norte,"Tienda de tamaño grande, acceso restringido, ubicada en el centro, con mucha afluencia de gente.",Residencial Izalco,John Doe,email@example.com,+503 7000 0000,110
El Mercadillo El Buen Gusto Central,"Tienda de tamaño grande, fácil acceso, ubicada en el centro, con amplio estacionamiento.",Residencial Juayúa,John Doe,email@example.com,+503 7000 0000,304
La Bodega Santa Maria Este,"Tienda de tamaño mediana, acceso restringido, ubicada en zona residencial, aislada de otros comercios.",Residencial Juayúa,John Doe,email@example.com,+503 7000 0000,304
Super La Fe Del Pueblo,"Tienda de tamaño grande, acceso complicado, ubicada en la periferia, con poca afluencia de gente.",Residencial Nahuizalco,John Doe,email@example.com,+503 7000 0000,305
El Mercadillo El Milagro Del Pueblo,"Tienda de tamaño grande, fácil acceso, ubicada en la periferia, cerca de otras tiendas.",Residencial Nahuizalco,John Doe,email@example.com,+503 7000 0000,305
Supermercado Europa,"Tienda de tamaño mediana, acceso restringido, ubicada en zona comercial, con poca afluencia de gente.",Residencial Nahulingo,John Doe,email@example.com,+503 7000 0000,407
Maxi Ahorro El Sol Norte,"Tienda de tamaño mediana, acceso restringido, ubicada en zona residencial, con poca afluencia de gente.",Residencial Nahulingo,John Doe,email@example.com,+503 7000 0000,407
Mercado El Centro La Unión Sur,"Tienda de tamaño pequeña, acceso restringido, ubicada en zona comercial, cerca de otras tiendas.",Residencial Salcoatitán,John Doe,email@example.com,+503 7000 0000,205
Punto de Venta El Ahorro Este,"Tienda de tamaño mediana, acceso complicado, ubicada en la periferia, con amplio estacionamiento.",Residencial Salcoatitán,John Doe,email@example.com,+503 7000 0000,205
Comercial San Jose Este,"Tienda de tamaño pequeña, acceso restringido, ubicada en zona residencial, con áreas verdes cercanas.",Residencial San Antonio del Monte,John Doe,email@example.com,+503 7000 0000,206
La Despensa Santa Clara Express,"Tienda de tamaño grande, fácil acceso, ubicada en el centro, con áreas verdes cercanas.",Residencial San Antonio del Monte,John Doe,email@example.com,+503 7000 0000,206
Mercado El Centro Nuevo Mundo Central,"Tienda de tamaño grande, fácil acceso, ubicada en la periferia, con amplio estacionamiento.",Residencial San Julián,John Doe,email@example.com,+503 7000 0000,408
Tienda de la Esquina San Carlos Sur,"Tienda de tamaño pequeña, acceso complicado, ubicada en el centro, con amplio estacionamiento.",Residencial San Julián,John Doe,email@example.com,+503 7000 0000,408
Mercado Local Santa Clara Norte,"Tienda de tamaño mediana, acceso restringido, ubicada en zona comercial, con mucha afluencia de gente.",Residencial Santa Catarina Masahuat,John Doe,email@example.com,+503 7000 0000,111
La Tiendona San Carlos Express,"Tienda de tamaño grande, acceso restringido, ubicada en zona comercial, con amplio estacionamiento.",Residencial Santa Catarina Masahuat,John Doe,email@example.com,+503 7000 0000,111
La Despensa La Unión Central,"Tienda de tamaño pequeña, acceso restringido, ubicada en el centro, con mucha afluencia de gente.",Residencial Santa Isabel Ishuatán,John Doe,email@example.com,+503 7000 0000,306
La Tiendona La Esperanza Express,"Tienda de tamaño grande, acceso restringido, ubicada en zona comercial, con mucha afluencia de gente.",Residencial Santa Isabel Ishuatán,John Doe,email@example.com,+503 7000 0000,306
Super Precio San Carlos Express,"Tienda de tamaño mediana, acceso restringido, ubicada en el centro, cerca de otras tiendas.",Residencial Santo Domingo de Guzmán,John Doe,email@example.com,+503 7000 0000,207
Mayorista El Milagro Oeste,"Tienda de tamaño pequeña, acceso complicado, ubicada en zona residencial, con amplio estacionamiento.",Residencial Santo Domingo de Guzmán,John Doe,email@example.com,+503 7000 0000,207
La Despensa La Unión Sur,"Tienda de tamaño pequeña, acceso complicado, ubicada en zona comercial, con mucha afluencia de gente.",Residencial Sonsonate,John Doe,email@example.com,+503 7000 0000,8
La Bodega La Fe Este,"Tienda de tamaño mediana, acceso complicado, ubicada en zona residencial, sin estacionamiento.",Residencial Sonsonate,John Doe,email@example.com,+503 7000 0000,8
Tienda Santa Maria Norte,"Tienda de tamaño grande, fácil acceso, ubicada en la periferia, con mucha afluencia de gente.",Residencial Sonzacate,John Doe,email@example.com,+503 7000 0000,112
Super Precio El Buen Gusto Express,"Tienda de tamaño mediana, acceso complicado, ubicada en la periferia, con poca afluencia de gente.",Residencial Sonzacate,John Doe,email@example.com,+503 7000 0000,112
La Central La Esperanza Express,"Tienda de tamaño mediana, acceso complicado, ubicada en la periferia, cerca de otras tiendas.",Residencial Agua Caliente,John Doe,email@example.com,+503 7000 0000,9
La Bodega Santa Clara Norte,"Tienda de tamaño pequeña, acceso restringido, ubicada en el centro, con mucha afluencia de gente.",Residencial Agua Caliente,John Doe,email@example.com,+503 7000 0000,9
El Ahorrador San Carlos Este,"Tienda de tamaño pequeña, acceso complicado, ubicada en zona comercial, con áreas verdes cercanas.",Residencial Arcatao,John Doe,email@example.com,+503 7000 0000,208
Maxi Despensa,"Tienda de tamaño grande, acceso restringido, ubicada en la periferia, con mucha afluencia de gente.",Residencial Arcatao,John Doe,email@example.com,+503 7000 0000,208
El Ahorrador El Milagro Norte,"Tienda de tamaño mediana, acceso restringido, ubicada en el centro, cerca de otras tiendas.",Residencial Azacualpa,John Doe,email@example.com,+503 7000 0000,113
El Ahorrador Santa Maria Oeste,"Tienda de tamaño pequeña, fácil acceso, ubicada en el centro, con amplio estacionamiento.",Residencial Azacualpa,John Doe,email@example.com,+503 7000 0000,113
El Rinconcito Buen Precio Del Pueblo,"Tienda de tamaño mediana, acceso complicado, ubicada en la periferia, aislada de otros comercios.",Residencial Cancasque,John Doe,email@example.com,+503 7000 0000,307
La Central Los Ángeles Central,"Tienda de tamaño pequeña, acceso complicado, ubicada en zona residencial, con amplio estacionamiento.",Residencial Cancasque,John Doe,email@example.com,+503 7000 0000,307
Maxi Despensa,"Tienda de tamaño mediana, acceso restringido, ubicada en el centro, cerca de otras tiendas.",Residencial Chalatenango,John Doe,email@example.com,+503 7000 0000,409
Comercial El Centro Central,"Tienda de tamaño grande, acceso restringido, ubicada en zona residencial, con amplio estacionamiento.",Residencial Chalatenango,John Doe,email@example.com,+503 7000 0000,409
Abarrotes Los Primos Este,"Tienda de tamaño grande, acceso complicado, ubicada en el centro, cerca de otras tiendas.",Residencial Citalá,John Doe,email@example.com,+503 7000 0000,209
Supermercado La Unión Oeste,"Tienda de tamaño pequeña, acceso complicado, ubicada en la periferia, aislada de otros comercios.",Residencial Citalá,John Doe,email@example.com,+503 7000 0000,209
La Despensa El Milagro Oeste,"Tienda de tamaño grande, fácil acceso, ubicada en zona comercial, con amplio estacionamiento.",Residencial Comalapa,John Doe,email@example.com,+503 7000 0000,114
El Rinconcito El Buen Gusto Express,"Tienda de tamaño grande, fácil acceso, ubicada en zona comercial, aislada de otros comercios.",Residencial Comalapa,John Doe,email@example.com,+503 7000 0000,114
Super El Buen Gusto Express,"Tienda de tamaño mediana, fácil acceso, ubicada en zona comercial, cerca de otras tiendas.",Residencial Concepción Quezaltepeque,John Doe,email@example.com,+503 7000 0000,115
Abarrotes El Buen Gusto Sur,"Tienda de tamaño grande, fácil acceso, ubicada en la periferia, con amplio estacionamiento.",Residencial Concepción Quezaltepeque,John Doe,email@example.com,+503 7000 0000,115
Tiendita San Jose Del Pueblo,"Tienda de tamaño mediana, fácil acceso, ubicada en zona comercial, con mucha afluencia de gente.",Residencial Dulce Nombre de Maria,John Doe,email@example.com,+503 7000 0000,410
Comercial Santa Clara Este,"Tienda de tamaño pequeña, acceso complicado, ubicada en zona comercial, con amplio estacionamiento.",Residencial Dulce Nombre de Maria,John Doe,email@example.com,+503 7000 0000,410
Bodega de Descuentos San Francisco Oeste,"Tienda de tamaño pequeña, acceso complicado, ubicada en zona comercial, cerca de otras tiendas.",Residencial El Carrizal,John Doe,email@example.com,+503 7000 0000,210
Distribuidora Santa Clara Central,"Tienda de tamaño mediana, acceso complicado, ubicada en zona residencial, aislada de otros comercios.",Residencial El Carrizal,John Doe,email@example.com,+503 7000 0000,210
Distribuidora El Progreso Del Pueblo,"Tienda de tamaño mediana, acceso restringido, ubicada en zona residencial, con áreas verdes cercanas.",Residencial El Paraíso,John Doe,email@example.com,+503 7000 0000,10
Almacen La Esperanza Del Pueblo,"Tienda de tamaño grande, acceso complicado, ubicada en zona comercial, sin estacionamiento.",Residencial El Paraíso,John Doe,email@example.com,+503 7000 0000,10
Super Oferta Santa Maria Sur,"Tienda de tamaño pequeña, acceso restringido, ubicada en zona comercial, con poca afluencia de gente.",Residencial La Laguna,John Doe,email@example.com,+503 7000 0000,211
La Esquina Santa Clara Este,"Tienda de tamaño mediana, fácil acceso, ubicada en zona comercial, con poca afluencia de gente.",Residencial La Laguna,John Doe,email@example.com,+503 7000 0000,211
El Buen Precio Los Ángeles Express,"Tienda de tamaño grande, fácil acceso, ubicada en el centro, cerca de otras tiendas.",Residencial La Palma,John Doe,email@example.com,+503 7000 0000,308
La Despensa de Don Juan,"Tienda de tamaño mediana, fácil acceso, ubicada en zona comercial, con amplio estacionamiento.",Residencial La Palma,John Doe,email@example.com,+503 7000 0000,308
El Ahorrador La Esperanza Central,"Tienda de tamaño mediana, acceso restringido, ubicada en zona residencial, cerca de otras tiendas.",Residencial La Reina,John Doe,email@example.com,+503 7000 0000,116
Mercado Local Buen Precio Del Pueblo,"Tienda de tamaño mediana, acceso complicado, ubicada en la periferia, con mucha afluencia de gente.",Residencial La Reina,John Doe,email@example.com,+503 7000 0000,116
Maxi Despensa,"Tienda de tamaño pequeña, fácil acceso, ubicada en zona comercial, con mucha afluencia de gente.",Residencial Las Flores,John Doe,email@example.com,+503 7000 0000,411
Mercado de la Fe Santa Maria Sur,"Tienda de tamaño grande, acceso restringido, ubicada en la periferia, cerca de otras tiendas.",Residencial Las Flores,John Doe,email@example.com,+503 7000 0000,411
Plaza Market El Centro Express,"Tienda de tamaño mediana, acceso restringido, ubicada en zona comercial, aislada de otros comercios.",Residencial Las Vueltas,John Doe,email@example.com,+503 7000 0000,11
Plaza Market El Buen Gusto Del Pueblo,"Tienda de tamaño grande, fácil acceso, ubicada en la periferia, con poca afluencia de gente.",Residencial Las Vueltas,John Doe,email@example.com,+503 7000 0000,11
Punto de Venta Los Primos Del Pueblo,"Tienda de tamaño grande, acceso complicado, ubicada en zona comercial, aislada de otros comercios.",Residencial Nombre de Jesús,John Doe,email@example.com,+503 7000 0000,12
Super Oferta Santa Clara Central,"Tienda de tamaño grande, fácil acceso, ubicada en zona residencial, con amplio estacionamiento.",Residencial Nombre de Jesús,John Doe,email@example.com,+503 7000 0000,12
Distribuidora El Rosario Oeste,"Tienda de tamaño mediana, acceso restringido, ubicada en la periferia, sin estacionamiento.",Residencial Nueva Concepción,John Doe,email@example.com,+503 7000 0000,212
Punto de Venta La Fortuna Express,"Tienda de tamaño mediana, acceso complicado, ubicada en zona residencial, con áreas verdes cercanas.",Residencial Nueva Concepción,John Doe,email@example.com,+503 7000 0000,212
Mayorista El Ahorro Este,"Tienda de tamaño grande, fácil acceso, ubicada en zona comercial, con mucha afluencia de gente.",Residencial Nueva Trinidad,John Doe,email@example.com,+503 7000 0000,13
Tienda El Buen Gusto Oeste,"Tienda de tamaño pequeña, acceso complicado, ubicada en zona residencial, cerca de otras tiendas.",Residencial Nueva Trinidad,John Doe,email@example.com,+503 7000 0000,13
Tienda Familiar San Francisco Este,"Tienda de tamaño pequeña, fácil acceso, ubicada en el centro, con poca afluencia de gente.",Residencial Ojos de Agua,John Doe,email@example.com,+503 7000 0000,412
Distribuidora El Ahorro Norte,"Tienda de tamaño mediana, acceso restringido, ubicada en la periferia, con poca afluencia de gente.",Residencial Ojos de Agua,John Doe,email@example.com,+503 7000 0000,412
El Mercadillo La Fortuna Oeste,"Tienda de tamaño grande, acceso complicado, ubicada en el centro, sin estacionamiento.",Residencial Potonico,John Doe,email@example.com,+503 7000 0000,309
La Tiendona El Centro Express,"Tienda de tamaño grande, acceso complicado, ubicada en zona residencial, aislada de otros comercios.",Residencial Potonico,John Doe,email@example.com,+503 7000 0000,309
Mini Market Buen Precio Central,"Tienda de tamaño grande, acceso complicado, ubicada en el centro, aislada de otros comercios.",Residencial San Antonio de la Cruz,John Doe,email@example.com,+503 7000 0000,213
La Bodega El Progreso Central,"Tienda de tamaño mediana, fácil acceso, ubicada en el centro, con mucha afluencia de gente.",Residencial San Antonio de la Cruz,John Doe,email@example.com,+503 7000 0000,213
Mercadito Familiar Santa Clara Del Pueblo,"Tienda de tamaño pequeña, acceso complicado, ubicada en zona comercial, con amplio estacionamiento.",Residencial San Antonio los Ranchos,John Doe,email@example.com,+503 7000 0000,310
Tienda Familiar El Progreso Sur,"Tienda de tamaño pequeña, acceso restringido, ubicada en la periferia, aislada de otros comercios.",Residencial San Antonio los Ranchos,John Doe,email@example.com,+503 7000 0000,310
Plaza Market San Francisco Central,"Tienda de tamaño pequeña, acceso complicado, ubicada en el centro, sin estacionamiento.",Residencial San Fernando,John Doe,email@example.com,+503 7000 0000,14
Maxi Ahorro La Fe Oeste,"Tienda de tamaño grande, acceso restringido, ubicada en zona residencial, sin estacionamiento.",Residencial San Fernando,John Doe,email@example.com,+503 7000 0000,14
La Central El Centro Este,"Tienda de tamaño grande, acceso restringido, ubicada en el centro, con poca afluencia de gente.",Residencial San Francisco Lempa,John Doe,email@example.com,+503 7000 0000,117
Super Precio La Esperanza Este,"Tienda de tamaño pequeña, acceso restringido, ubicada en zona comercial, cerca de otras tiendas.",Residencial San Francisco Lempa,John Doe,email@example.com,+503 7000 0000,117
El Buen Precio Santa Maria Oeste,"Tienda de tamaño pequeña, acceso complicado, ubicada en la periferia, con amplio estacionamiento.",Residencial San Francisco Morazán,John Doe,email@example.com,+503 7000 0000,413
Tienda Familiar Nuevo Mundo Del Pueblo,"Tienda de tamaño mediana, acceso complicado, ubicada en zona residencial, sin estacionamiento.",Residencial San Francisco Morazán,John Doe,email@example.com,+503 7000 0000,413
El Mercadillo Los Primos Del Pueblo,"Tienda de tamaño pequeña, acceso complicado, ubicada en zona residencial, sin estacionamiento.",Residencial San Ignacio,John Doe,email@example.com,+503 7000 0000,118
El Ahorrador El Sol Este,"Tienda de tamaño pequeña, acceso restringido, ubicada en zona residencial, sin estacionamiento.",Residencial San Ignacio,John Doe,email@example.com,+503 7000 0000,118
Dollar City,"Tienda de tamaño mediana, acceso complicado, ubicada en zona comercial, con áreas verdes cercanas.",Residencial San Isidro Labrador,John Doe,email@example.com,+503 7000 0000,311
Punto de Venta El Rosario Norte,"Tienda de tamaño pequeña, fácil acceso, ubicada en la periferia, cerca de otras tiendas.",Residencial San Isidro Labrador,John Doe,email@example.com,+503 7000 0000,311
Supermercado Santa Maria Este,"Tienda de tamaño pequeña, acceso complicado, ubicada en la periferia, con mucha afluencia de gente.",Residencial San Luís del Carmen,John Doe,email@example.com,+503 7000 0000,15
Comercial Santa Maria Express,"Tienda de tamaño pequeña, acceso complicado, ubicada en el centro, con áreas verdes cercanas.",Residencial San Luís del Carmen,John Doe,email@example.com,+503 7000 0000,15
Supermercado La Unión Express,"Tienda de tamaño mediana, acceso complicado, ubicada en zona comercial, con áreas verdes cercanas.",Residencial San Miguel de Mercedes,John Doe,email@example.com,+503 7000 0000,312
Distribuidora San Jose Oeste,"Tienda de tamaño grande, acceso restringido, ubicada en zona comercial, con poca afluencia de gente.",Residencial San Miguel de Mercedes,John Doe,email@example.com,+503 7000 0000,312
Super Selectos,"Tienda de tamaño pequeña, fácil acceso, ubicada en zona comercial, aislada de otros comercios.",Residencial San Rafael,John Doe,email@example.com,+503 7000 0000,119
Bodega de Descuentos Nuevo Mundo Central,"Tienda de tamaño grande, acceso restringido, ubicada en zona residencial, con mucha afluencia de gente.",Residencial San Rafael,John Doe,email@example.com,+503 7000 0000,119
Mercado Local El Rosario Norte,"Tienda de tamaño mediana, acceso complicado, ubicada en el centro, cerca de otras tiendas.",Residencial Santa Rita,John Doe,email@example.com,+503 7000 0000,214
Distribuidora El Rosario Oeste,"Tienda de tamaño mediana, acceso restringido, ubicada en el centro, sin estacionamiento.",Residencial Santa Rita,John Doe,email@example.com,+503 7000 0000,214
La Despensa El Rosario Este,"Tienda de tamaño grande, fácil acceso, ubicada en zona residencial, con amplio estacionamiento.",Residencial Tejutla,John Doe,email@example.com,+503 7000 0000,215
Mercado Popular La Unión Del Pueblo,"Tienda de tamaño mediana, acceso restringido, ubicada en zona comercial, sin estacionamiento.",Residencial Tejutla,John Doe,email@example.com,+503 7000 0000,215
Mercado El Centro Nuevo Mundo Central,"Tienda de tamaño pequeña, fácil acceso, ubicada en el centro, con poca afluencia de gente.",Residencial Antiguo Cuscatlán,John Doe,email@example.com,+503 7000 0000,120
Comercial Santa Clara Central,"Tienda de tamaño grande, acceso complicado, ubicada en zona comercial, con mucha afluencia de gente.",Residencial Antiguo Cuscatlán,John Doe,email@example.com,+503 7000 0000,120
