PRODUCT_ID,PRODUCT_NAME,PRODUCT_CATEGORY_ID,PRICE,PRODUCTION_DATE,DESCRIPTION
109,Mani Japones,1000,1.92,2024-09-16,"Mani Japones offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
12,Semilla De Maranon,1000,1.7,2024-09-21,"Semilla De Maranon offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
13,Yucatekas,1000,1.49,2024-09-22,"Yucatekas offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
14,Yuca,1000,1.09,2024-09-21,"Yuca offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
110,Mini Pretzel,1000,1.29,2024-09-17,"Mini Pretzel offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
111,Platanitos,1000,1.31,2024-09-19,"Platanitos offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
112,Max Palitos Chilimon,1000,2.07,2024-09-21,"Max Palitos Chilimon offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
113,Max Palitos Original,1000,1.02,2024-09-18,"Max Palitos Original offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
114,Max Mani Japones,1000,2.36,2024-09-21,"Max Mani Japones offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
15,Max Centavitos,1000,0.81,2024-09-17,"Max Centavitos offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
16,Max Quesitos,1000,1.47,2024-09-18,"Max Quesitos offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
115,Chicharrones Con Limon 2,1000,1.05,2024-09-17,"Chicharrones Con Limon 2 offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
116,Chicharrones 2,1000,0.51,2024-09-21,"Chicharrones 2 offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
17,Maiz Chino Picantes,1000,1.42,2024-09-16,"Maiz Chino Picantes offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
117,Tocinitos,1000,0.88,2024-09-18,"Tocinitos offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
118,Korchips Con Chile,1000,1.64,2024-09-21,"Korchips Con Chile offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
119,Korchips Con Queso,1000,1.41,2024-09-22,"Korchips Con Queso offers a unique taste experience, Crisp and savory, ideal for a quick snack.."
18,Burbujitas,2000,0.59,2024-09-16,"Burbujitas offers a unique taste experience, Sweet and delightful, perfect for a treat.."
120,Candy Maiz,2000,1.9,2024-09-21,"Candy Maiz offers a unique taste experience, Sweet and delightful, perfect for a treat.."
19,Baby,2000,0.58,2024-09-22,"Baby offers a unique taste experience, Sweet and delightful, perfect for a treat.."
20,Cereza,2000,1.91,2024-09-20,"Cereza offers a unique taste experience, Sweet and delightful, perfect for a treat.."
121,Perla,2000,1.68,2024-09-22,"Perla offers a unique taste experience, Sweet and delightful, perfect for a treat.."
122,Gomitas,2000,0.98,2024-09-20,"Gomitas offers a unique taste experience, Sweet and delightful, perfect for a treat.."
21,Alboroto 2,2000,2.29,2024-09-22,"Alboroto 2 offers a unique taste experience, Sweet and delightful, perfect for a treat.."
123,Toztecas Wild Shots,3000,1.05,2024-09-20,"Toztecas Wild Shots offers a unique taste experience, enjoyable and satisfying."
124,Toztecas Fire Pops,3000,2.36,2024-09-18,"Toztecas Fire Pops offers a unique taste experience, enjoyable and satisfying."
125,Toztecas Fire Spots,3000,0.8,2024-09-22,"Toztecas Fire Spots offers a unique taste experience, enjoyable and satisfying."
22,Toztecas Pizza,3000,2.14,2024-09-21,"Toztecas Pizza offers a unique taste experience, enjoyable and satisfying."
126,Toztecas Original,3000,2.35,2024-09-19,"Toztecas Original offers a unique taste experience, enjoyable and satisfying."
127,Toztecas Wild Drops,3000,0.51,2024-09-22,"Toztecas Wild Drops offers a unique taste experience, enjoyable and satisfying."
23,Picnic Fresa,4000,1.53,2024-09-16,"Picnic Fresa offers a unique taste experience, enjoyable and satisfying."
24,Picnic Chocolate,4000,1.03,2024-09-19,"Picnic Chocolate offers a unique taste experience, enjoyable and satisfying."
128,Picnic Vainilla,4000,1.3,2024-09-16,"Picnic Vainilla offers a unique taste experience, enjoyable and satisfying."
